"","Factor1"
"CMAT_Addition_Raw",0.74
"CMAT_Addition_StS",0.76
"CMAT_Subtraction_Raw",0.8
"CMAT_Subtraction_StS",0.78
"CMAT_Multiplication_Raw",0.78
"CMAT_Multiplication_StS",0.81
"CMAT_Division_Raw",0.83
"CMAT_Division_StS",0.89
"CMAT_BasicCalc_Comp_Quotient",0.94
"KeyMath_Numeration_Raw",0.8
"KeyMath_Numeration_ScS",0.85
"KeyMath_Measurement_Raw",0.8
"KeyMath_Measurement_ScS",0.78
"KeyMath_ProblemSolving_Raw",0.69
"KeyMath_ProblemSolving_ScS",0.68
"TOMA0x2D2_Attitudes_Raw",0.36
"TOMA0x2D2_Attitudes_StS",0.36
