"","Factor1","Factor2"
"CMAT_Addition_Raw",0.72,0.04
"CMAT_Addition_StS",0.76,-0.01
"CMAT_Subtraction_Raw",0.78,0.05
"CMAT_Subtraction_StS",0.79,0
"CMAT_Multiplication_Raw",0.77,0
"CMAT_Multiplication_StS",0.82,-0.02
"CMAT_Division_Raw",0.81,0.06
"CMAT_Division_StS",0.88,0.01
"CMAT_BasicCalc_Comp_Quotient",0.94,-0.01
"KeyMath_Numeration_Raw",0.8,0.01
"KeyMath_Numeration_ScS",0.86,-0.03
"KeyMath_Measurement_Raw",0.78,0.03
"KeyMath_Measurement_ScS",0.78,-0.01
"KeyMath_ProblemSolving_Raw",0.71,-0.05
"KeyMath_ProblemSolving_ScS",0.71,-0.08
"TOMA0x2D2_Attitudes_Raw",0.01,0.99
"TOMA0x2D2_Attitudes_StS",0.01,0.99
