"","Factor1","Factor2","Factor3","Factor4","Factor5","Factor6","Factor7","Factor8","Factor9","Factor10"
"ADHD_Total_0x25",0.17,0.182,-0.054,1.044,0.238,0.021,0.06,-0.102,-0.141,-0.003
"AWMA0x2DS_VerbalSTM_StS",-0.135,-0.044,0.02,0.071,0.029,0.049,1.047,-0.017,0.011,0.05
"AWMA0x2DS_VerbalWM_StS",0.301,0.211,0.009,-0.018,-0.148,0.034,0.226,0.1,-0.163,-0.212
"AWMA0x2DS_VisuoSpatialSTM_StS",1.039,-0.056,0.081,0.236,-0.242,0.079,-0.113,0.119,0.021,0.064
"AWMA0x2DS_VisuoSpatialWM_StS",0.901,-0.175,0.084,0.087,-0.024,-0.071,-0.041,0.073,-0.06,0.052
"CMAT_BasicCalc_Comp_Quotient",0.449,0.112,0.077,0.018,0.365,0.051,-0.029,0.061,0.55,0.021
"CTOPP_EL_StS",0.147,0.081,-0.048,-0.008,-0.079,0.069,0.055,-0.006,0.03,0.902
"CTOPP_BW_StS",-0.024,0.217,0.231,0.048,-0.016,0.013,0.03,0.075,-0.303,0.159
"CTOPP_RapidNaming_Comp",0.146,0.099,-0.055,0.007,0.024,-0.024,-0.005,0.764,0.041,-0.025
"KeyMath_Numeration_ScS",0.636,0.051,0.041,-0.148,0.156,-0.037,0.016,-0.124,0.164,-0.058
"KeyMath_ProblemSolving_ScS",0.439,0.132,-0.051,-0.327,0.036,-0.095,0.089,-0.166,-0.035,0.033
"TOMA0x2D2_Attitudes_StS",-0.101,0.195,0.152,-0.186,-0.124,0.092,0.036,-0.063,0.571,0.024
"TOWRE_Total_StS",-0.16,0.014,0.068,-0.381,0.306,0.156,-0.058,0.516,-0.187,0.048
"WASI_Vocab_T0x2DScore",-0.13,1.318,0.035,0.211,0.03,-0.155,-0.017,0.103,0.14,0.054
"WASI_BD_T0x2DScore",0.209,0.037,0.537,-0.078,0.125,-0.05,-0.059,-0.166,-0.003,0.055
"WASI_Sim_T0x2DScore",0.03,0.683,-0.087,-0.164,-0.085,0.138,-0.07,-0.079,0.05,-0.006
"WASI_MR_T0x2DScore",0.108,-0.102,0.716,-0.025,0.134,-0.084,0.077,-0.041,0.119,0.038
"WJ0x2DIII_WordID_StS",-0.114,0.034,0.028,0.232,1.022,0.222,0.026,0.13,0.076,-0.054
"WJ0x2DIII_WA_StS",0.01,-0.178,-0.019,0.01,0.051,1.059,0.057,0.009,0.097,0.069
"WJ0x2DIII_PassComp_StS",0.164,0.147,0.007,0.039,0.146,0.498,-0.076,-0.118,-0.06,-0.068
"WJ0x2DIII_MathFluency_StS",0.414,0.002,-0.119,-0.223,0.012,-0.006,0.086,0.332,0.267,0.017
"WJ0x2DIII_SpatialRelations_StS",0.008,0.062,0.901,-0.019,-0.155,0.078,-0.002,0.075,0.087,-0.12
