"","Factor1","Factor2","Factor3","Factor4","Factor5","Factor6","Factor7","Factor8","Factor9","Factor10","Factor11","Factor12"
"ADHD_Total_0x25",0.001,0.044,0.011,-0.026,0.1,-0.001,-0.024,1.043,0.029,0.057,0.035,-0.094
"AWMA0x2DS_VerbalSTM_StS",0.015,-0.064,-0.01,-0.062,-0.014,0.059,-0.005,0.029,1.018,0.005,0.027,0.013
"AWMA0x2DS_VerbalWM_StS",-0.022,0.303,0.047,0.344,-0.053,-0.241,-0.016,-0.051,0.214,-0.035,0.063,-0.106
"AWMA0x2DS_VisuoSpatialSTM_StS",0.127,-0.024,0.181,0.444,0.091,0.102,0.132,0.114,-0.112,-0.218,0.065,0.108
"AWMA0x2DS_VisuoSpatialWM_StS",-0.001,-0.112,-0.065,1.008,-0.056,0.047,-0.078,-0.045,-0.035,0.082,-0.027,-0.009
"CMAT_BasicCalc_Comp_Quotient",0.085,0.128,0.066,0.212,0.025,0.037,0.02,-0.024,-0.019,0.246,0.019,0.582
"CTOPP_EL_StS",-0.066,0.06,-0.023,0.072,-0.087,1.047,-0.065,-0.001,0.053,-0.06,0.062,0.022
"CTOPP_BW_StS",0.261,0.21,0.092,-0.024,-0.02,0.182,0.045,-0.009,0.023,-0.012,-0.023,-0.325
"CTOPP_RapidNaming_Comp",-0.045,0.03,0.961,-0.013,-0.151,-0.043,-0.041,0.052,-0.005,-0.051,-0.055,0.033
"KeyMath_Numeration_ScS",0.074,0.059,-0.073,0.028,1.005,-0.081,-0.048,0.089,-0.018,-0.013,-0.027,0.079
"KeyMath_ProblemSolving_ScS",0.036,0.233,-0.097,0.091,0.434,0.055,0.085,-0.086,0.088,-0.015,-0.057,0.018
"TOMA0x2D2_Attitudes_StS",0.144,0.166,-0.063,-0.16,-0.052,0.009,-0.062,-0.083,0.032,-0.073,0.087,0.548
"TOWRE_Total_StS",0.082,0.019,0.524,-0.096,0.111,0.058,-0.011,-0.117,-0.057,0.259,0.142,-0.183
"WASI_Vocab_T0x2DScore",0.027,0.979,0.091,-0.08,-0.143,0.074,0.103,0.084,0.002,0.076,-0.2,0.157
"WASI_BD_T0x2DScore",0.607,0.087,-0.182,0.112,0.096,0.071,0.038,-0.015,-0.056,0.09,-0.036,0.029
"WASI_Sim_T0x2DScore",-0.086,0.863,-0.066,-0.07,0.152,-0.01,-0.112,-0.044,-0.096,-0.059,0.174,0.046
"WASI_MR_T0x2DScore",0.805,-0.152,-0.03,-0.018,0.055,0.045,0.032,-0.018,0.08,0.06,-0.095,0.103
"WJ0x2DIII_WordID_StS",0.004,0.059,0.028,0.057,-0.021,-0.061,-0.005,0.058,0.01,0.899,0.107,0.117
"WJ0x2DIII_WA_StS",0.001,-0.055,-0.029,-0.014,-0.041,0.071,0.087,0.038,0.032,0.063,0.94,0.068
"WJ0x2DIII_PassComp_StS",-0.028,0.05,-0.046,-0.06,-0.053,-0.071,1.039,-0.024,-0.005,-0.009,0.088,-0.031
"WJ0x2DIII_MathFluency_StS",-0.081,-0.078,0.45,0.01,0.289,0.021,0.019,-0.07,0.086,-0.045,-0.019,0.257
"WJ0x2DIII_SpatialRelations_StS",1.005,0.015,0.085,-0.032,-0.073,-0.16,-0.085,0.019,-0.014,-0.112,0.1,0.046
