"","Factor1","Factor2"
"ADHD_Total_0x25",-0.299,-0.076
"AWMA0x2DS_VerbalSTM_StS",0.029,0.455
"AWMA0x2DS_VerbalWM_StS",0.198,0.254
"AWMA0x2DS_VisuoSpatialSTM_StS",0.541,0.085
"AWMA0x2DS_VisuoSpatialWM_StS",0.536,0.126
"CMAT_BasicCalc_Comp_Quotient",0.703,0.141
"CTOPP_EL_StS",0.3,0.461
"CTOPP_BW_StS",0.172,0.345
"CTOPP_RapidNaming_Comp",-0.346,0.632
"KeyMath_Numeration_ScS",0.842,0.044
"KeyMath_ProblemSolving_ScS",0.708,0.131
"TOMA0x2D2_Attitudes_StS",0.487,-0.297
"TOWRE_Total_StS",-0.097,0.932
"WASI_Vocab_T0x2DScore",0.587,0.187
"WASI_BD_T0x2DScore",0.859,-0.087
"WASI_Sim_T0x2DScore",0.516,0.184
"WASI_MR_T0x2DScore",0.779,-0.112
"WJ0x2DIII_WordID_StS",0.116,0.799
"WJ0x2DIII_WA_StS",0.004,0.813
"WJ0x2DIII_PassComp_StS",0.293,0.456
"WJ0x2DIII_MathFluency_StS",0.233,0.349
"WJ0x2DIII_SpatialRelations_StS",0.741,-0.169
