"","Factor1","Factor2","Factor3"
"ADHD_Total_0x25",-0.42,0.07,-0.246
"AWMA0x2DS_VerbalSTM_StS",-0.004,0.452,0.142
"AWMA0x2DS_VerbalWM_StS",0.129,0.32,0.047
"AWMA0x2DS_VisuoSpatialSTM_StS",0.557,0.07,0.172
"AWMA0x2DS_VisuoSpatialWM_StS",0.529,0.137,0.151
"CMAT_BasicCalc_Comp_Quotient",0.794,0.057,0.269
"CTOPP_EL_StS",0.244,0.496,0.164
"CTOPP_BW_StS",-0.048,0.589,-0.11
"CTOPP_RapidNaming_Comp",-0.081,0.206,0.672
"KeyMath_Numeration_ScS",0.776,0.156,0.057
"KeyMath_ProblemSolving_ScS",0.577,0.306,-0.009
"TOMA0x2D2_Attitudes_StS",0.575,-0.35,0.047
"TOWRE_Total_StS",-0.064,0.787,0.456
"WASI_Vocab_T0x2DScore",0.391,0.441,-0.106
"WASI_BD_T0x2DScore",0.604,0.281,-0.269
"WASI_Sim_T0x2DScore",0.336,0.414,-0.102
"WASI_MR_T0x2DScore",0.6,0.154,-0.166
"WJ0x2DIII_WordID_StS",0.034,0.833,0.227
"WJ0x2DIII_WA_StS",-0.052,0.808,0.24
"WJ0x2DIII_PassComp_StS",0.102,0.669,-0.048
"WJ0x2DIII_MathFluency_StS",0.486,0.007,0.573
"WJ0x2DIII_SpatialRelations_StS",0.533,0.134,-0.228
