"","Factor1","Factor2","Factor3","Factor4"
"ADHD_Total_0x25",0.022,-0.42,0.008,-0.154
"AWMA0x2DS_VerbalSTM_StS",0.447,0.033,-0.087,0.146
"AWMA0x2DS_VerbalWM_StS",0.397,0.108,-0.055,0.023
"AWMA0x2DS_VisuoSpatialSTM_StS",0.038,0.416,0.218,0.146
"AWMA0x2DS_VisuoSpatialWM_StS",0.049,0.349,0.295,0.17
"CMAT_BasicCalc_Comp_Quotient",0.134,0.692,0.116,0.142
"CTOPP_EL_StS",0.387,0.117,0.188,0.233
"CTOPP_BW_StS",0.438,-0.256,0.298,0.058
"CTOPP_RapidNaming_Comp",-0.028,0.137,-0.161,0.696
"KeyMath_Numeration_ScS",0.317,0.609,0.138,-0.058
"KeyMath_ProblemSolving_ScS",0.479,0.428,0.075,-0.093
"TOMA0x2D2_Attitudes_StS",-0.165,0.542,-0.008,-0.128
"TOWRE_Total_StS",0.543,-0.055,0.045,0.601
"WASI_Vocab_T0x2DScore",0.642,0.242,0.034,-0.169
"WASI_BD_T0x2DScore",0.173,0.127,0.694,-0.157
"WASI_Sim_T0x2DScore",0.737,0.278,-0.161,-0.235
"WASI_MR_T0x2DScore",-0.107,0.121,0.823,-0.012
"WJ0x2DIII_WordID_StS",0.702,-0.028,0.076,0.329
"WJ0x2DIII_WA_StS",0.799,-0.005,-0.148,0.276
"WJ0x2DIII_PassComp_StS",0.752,0.006,0.001,-0.022
"WJ0x2DIII_MathFluency_StS",0,0.611,-0.134,0.437
"WJ0x2DIII_SpatialRelations_StS",-0.098,0.051,0.797,-0.068
