"","Factor1","Factor2","Factor3","Factor4","Factor5"
"ADHD_Total_0x25",-0.091,-0.015,-0.473,0.19,-0.064
"AWMA0x2DS_VerbalSTM_StS",0.446,-0.082,0.045,0.034,0.062
"AWMA0x2DS_VerbalWM_StS",0.231,-0.02,0.086,0.176,0.026
"AWMA0x2DS_VisuoSpatialSTM_StS",0.042,0.251,0.433,-0.067,0.099
"AWMA0x2DS_VisuoSpatialWM_StS",0.04,0.366,0.37,-0.109,0.128
"CMAT_BasicCalc_Comp_Quotient",0.022,0.126,0.717,0.074,0.101
"CTOPP_EL_StS",0.269,0.221,0.105,0.111,0.2
"CTOPP_BW_StS",0.213,0.369,-0.308,0.199,0.105
"CTOPP_RapidNaming_Comp",-0.103,-0.21,0.116,0.084,0.799
"KeyMath_Numeration_ScS",0.167,0.229,0.622,0.047,-0.106
"KeyMath_ProblemSolving_ScS",0.245,0.18,0.418,0.15,-0.11
"TOMA0x2D2_Attitudes_StS",-0.221,-0.057,0.557,0.09,-0.128
"TOWRE_Total_StS",0.547,0.063,-0.044,-0.005,0.512
"WASI_Vocab_T0x2DScore",-0.233,-0.005,0.075,1.11,0.091
"WASI_BD_T0x2DScore",0.026,0.8,0.126,0.019,-0.176
"WASI_Sim_T0x2DScore",0.247,-0.1,0.205,0.531,-0.136
"WASI_MR_T0x2DScore",-0.135,0.879,0.14,-0.093,-0.042
"WJ0x2DIII_WordID_StS",0.668,0.1,-0.008,0.053,0.203
"WJ0x2DIII_WA_StS",1.208,-0.194,0.076,-0.287,-0.064
"WJ0x2DIII_PassComp_StS",0.813,0.009,0.031,0.024,-0.219
"WJ0x2DIII_MathFluency_StS",0.007,-0.164,0.626,0,0.394
"WJ0x2DIII_SpatialRelations_StS",-0.167,0.828,0.051,-0.004,-0.063
