"","Factor1","Factor2","Factor3","Factor4","Factor5","Factor6","Factor7"
"ADHD_Total_0x25",-0.187,-0.078,-0.064,0.183,-0.396,-0.088,0.068
"AWMA0x2DS_VerbalSTM_StS",0.035,-0.1,0.01,-0.05,0.013,-0.05,1.045
"AWMA0x2DS_VerbalWM_StS",0.024,0.377,-0.134,0.158,-0.115,-0.019,0.204
"AWMA0x2DS_VisuoSpatialSTM_StS",-0.066,0.815,0.025,-0.098,0.056,0.071,-0.128
"AWMA0x2DS_VisuoSpatialWM_StS",-0.133,0.859,0.126,-0.157,-0.023,0.091,-0.029
"CMAT_BasicCalc_Comp_Quotient",0.076,0.195,0.162,0.103,0.579,0.122,-0.019
"CTOPP_EL_StS",0.185,0.129,0.195,0.123,0.023,0.2,0.109
"CTOPP_BW_StS",0.123,0.09,0.279,0.208,-0.34,0.097,0.027
"CTOPP_RapidNaming_Comp",-0.102,0.102,-0.189,0.086,0.05,0.78,-0.036
"KeyMath_Numeration_ScS",0.121,0.451,0.148,0.057,0.346,-0.109,0.025
"KeyMath_ProblemSolving_ScS",0.147,0.394,0.083,0.157,0.178,-0.129,0.103
"TOMA0x2D2_Attitudes_StS",-0.101,-0.193,0.085,0.13,0.612,-0.105,0.024
"TOWRE_Total_StS",0.589,-0.07,0.092,0.023,-0.043,0.552,-0.064
"WASI_Vocab_T0x2DScore",-0.24,-0.144,0.009,1.228,0.093,0.098,-0.025
"WASI_BD_T0x2DScore",0.059,0.172,0.693,0.04,0.056,-0.159,-0.055
"WASI_Sim_T0x2DScore",0.243,0.068,-0.13,0.604,0.122,-0.111,-0.076
"WASI_MR_T0x2DScore",-0.116,0.017,0.891,-0.097,0.133,-0.032,0.071
"WJ0x2DIII_WordID_StS",0.697,-0.233,0.183,0.089,0.059,0.253,0.062
"WJ0x2DIII_WA_StS",1.164,-0.017,-0.156,-0.275,0.035,-0.004,0.05
"WJ0x2DIII_PassComp_StS",0.827,0.085,-0.043,0.05,-0.041,-0.179,-0.096
"WJ0x2DIII_MathFluency_StS",-0.024,0.284,-0.127,0,0.413,0.375,0.078
"WJ0x2DIII_SpatialRelations_StS",-0.118,0.052,0.773,0.01,0.051,-0.049,-0.043
