"","Factor1","Factor2","Factor3","Factor4","Factor5","Factor6","Factor7","Factor8","Factor9"
"ADHD_Total_0x25",0.236,0.065,0.045,0.001,-0.701,-0.158,0.074,-0.259,0.047
"AWMA0x2DS_VerbalSTM_StS",-0.054,0.035,-0.123,0.018,-0.054,-0.044,1.059,0.013,0.039
"AWMA0x2DS_VerbalWM_StS",0.194,0.015,0.318,-0.035,0.038,0.081,0.218,-0.139,-0.235
"AWMA0x2DS_VisuoSpatialSTM_StS",-0.06,0.077,0.829,0.069,-0.17,0.034,-0.136,0.064,0.052
"AWMA0x2DS_VisuoSpatialWM_StS",-0.156,-0.056,0.794,0.107,0.026,0.047,-0.036,-0.024,0.061
"CMAT_BasicCalc_Comp_Quotient",0.156,0.107,0.253,0.165,0.078,0.065,-0.01,0.554,0.057
"CTOPP_EL_StS",0.059,0.052,0.135,-0.046,-0.004,-0.003,0.043,0.041,0.88
"CTOPP_BW_StS",0.212,0.03,0.087,0.217,-0.035,0.073,0.031,-0.282,0.151
"CTOPP_RapidNaming_Comp",0.092,-0.031,0.189,-0.123,0.032,0.695,-0.011,0.108,-0.03
"KeyMath_Numeration_ScS",0.055,-0.036,0.391,0.095,0.408,-0.077,0.026,0.226,-0.033
"KeyMath_ProblemSolving_ScS",0.118,-0.109,0.297,-0.039,0.518,-0.116,0.098,0.045,0.049
"TOMA0x2D2_Attitudes_StS",0.168,0.064,-0.146,0.129,-0.087,-0.128,0.015,0.576,-0.007
"TOWRE_Total_StS",-0.011,0.072,-0.172,0.07,0.84,0.765,-0.067,-0.157,0.021
"WASI_Vocab_T0x2DScore",1.307,-0.199,-0.123,0.024,-0.16,0.076,-0.025,0.134,0.041
"WASI_BD_T0x2DScore",0.038,-0.056,0.129,0.612,0.2,-0.112,-0.054,0.017,0.06
"WASI_Sim_T0x2DScore",0.645,0.137,0.017,-0.136,0.156,-0.091,-0.082,0.081,-0.023
"WASI_MR_T0x2DScore",-0.091,-0.086,0.048,0.829,0.025,-0.012,0.082,0.143,0.035
"WJ0x2DIII_WordID_StS",0.143,0.389,-0.156,0.169,0.263,0.298,0.093,0.049,0.044
"WJ0x2DIII_WA_StS",-0.208,1.223,0.025,-0.08,-0.131,-0.019,0.035,0.097,0.037
"WJ0x2DIII_PassComp_StS",0.145,0.6,0.09,0.03,0.067,-0.081,-0.078,-0.049,-0.065
"WJ0x2DIII_MathFluency_StS",0.006,0.01,0.316,-0.125,0.183,0.297,0.086,0.374,0.017
"WJ0x2DIII_SpatialRelations_StS",0.034,0.031,0.067,0.843,-0.116,0.014,-0.027,0.091,-0.158
