"","factor1"
"1",6.2208414456307
"2",8.48063290494556
"3",8.94514697969695
"4",10.1639061304408
"5",11.5434771707083
"6",9.06684841238752
"7",8.28502720163384
"8",3.54682425959542
"9",-4.73964183143991
"10",3.90425936987336
"11",4.32090363520512
"12",3.44234504000457
"13",12.2696606671373
"14",7.79046126323434
"15",2.123235056719
"16",6.9920499435109
"17",5.05595545631091
"18",11.161410367458
"19",4.81474855391371
"20",13.0763816098238
"21",-5.65059523044659
"22",-7.22392531721634
"23",5.19438511252277
"24",7.48007404475604
"25",10.7902087514329
"26",10.0756356047682
"27",7.61501270396018
"28",0.826625246097942
"29",3.46541216467588
"30",-11.6504640308162
"31",-0.129813757084946
"32",4.92384955245923
"33",1.74717891913713
"34",10.0862525016436
"35",1.37981027620171
"36",7.72008380860388
"37",11.4193661469903
"38",12.9695807006327
"39",10.411916839095
"40",-4.65003097040446
"41",-10.8955323818494
"42",0.933263920198428
"43",-1.7710951769657
"44",-5.49597290471746
"45",-3.65737585663421
"46",-1.03959138273952
"47",8.01291964573206
"48",0.707703910954632
"49",6.67444419382721
"50",4.74250180876241
"51",6.70786496459445
"52",9.25924469376863
"53",0.753375046038181
"54",-6.37732678175398
"55",-9.29332173195074
"56",1.37244844362268
"57",-3.22428610015993
"58",-1.18675430383146
"59",4.50391257413187
"60",2.14060337317942
"61",-3.61277836874835
"62",-12.1779065447263
"63",-9.24023087625332
"64",-5.03876193307213
"65",-5.57471188551539
"66",-8.26360980080464
"67",-7.05167348163783
"68",-4.86395347652647
"69",-3.93287066463316
"70",-2.8395098280805
"71",-6.43779364621459
"72",-8.57379215648191
"73",0.0135992180552519
"74",-5.00106629130177
"75",-1.89883246725174
"76",7.08966427432274
"77",-7.12120009570901
"78",-2.21417971911084
"79",-3.52456964488955
"80",-7.3609065923839
"81",-10.0043600159201
"82",-1.00571431997318
"83",-6.0052038213231
"84",-4.53080985209573
"85",-5.92588720955987
"86",-9.21619988231851
"87",-13.9402953199168
"88",-4.45862017394033
"89",-5.8668092345946
"90",-10.3357114609062
"91",-6.95656491246461
"92",-8.7181150497785
"93",-5.99170821139916
"94",-1.54034595041919
"95",-10.2642304384203
"96",-8.50913773585899
"97",-0.642384434918717
"98",-0.501397464070615
"99",-3.49661852895145
"100",-3.75293140054953
"101",0.808182503815985
"102",6.43364137411051
"103",1.60075405950767
"104",-4.10803982802948
"105",3.0605563142901
"106",6.30322582428109
"107",-3.97627623116467
"108",-3.01224580180768
"109",-3.09351359929116
"110",-0.860217875376248
