"","Factor1","Factor2"
"ADHD_HI_Raw",-0.22,0.027
"ADHD_IA_Raw",-0.327,0.008
"AWMA0x2DS_VerbalSTM_StS",0.357,0.267
"AWMA0x2DS_VerbalWM_StS",0.343,0.147
"AWMA0x2DS_VisuoSpatialSTM_StS",0.573,-0.057
"AWMA0x2DS_VisuoSpatialWM_StS",0.54,-0.012
"CMAT_Addition_Raw",0.687,-0.205
"CMAT_Subtraction_Raw",0.772,-0.227
"CMAT_Multiplication_Raw",0.752,-0.234
"CTOPP_EL_Raw",0.65,0.074
"CTOPP_BW_Raw",0.421,0.117
"CTOPP_RD_Raw",-0.272,-0.187
"CTOPP_RD_StS",0.161,0.441
"CTOPP_RL_StS",0.203,0.273
"speech_delay",0.202,0.148
"speech_language_therapy",-0.13,0.214
"struggle_reading",0.381,0.441
"reading_disability_tested",0.288,0.271
"tutoring_reading",0.332,0.263
"struggle_math",0.626,-0.078
"math_disability_tested",0.306,0.18
"tutoring_math",0.314,-0.164
"regular_classroom",0.155,-0.287
"skipped_grades",0.217,0.008
"individual_education_plan0x2F504_plan",0.317,0.272
"learning_preference_teacher",-0.01,-0.127
"learning_preference_visual",-0.103,0.174
"learning_preference_demonstrations",-0.017,-0.103
"learning_preference_peer0x2Dinteractions",-0.361,-0.02
"learning_preference_discussions",-0.157,-0.096
"mother_learning_problems",0.015,0.041
"mother_speech_problems",0.059,0.033
"mother_behavioral_problems",0.061,-0.13
"mother_medical_problems",-0.05,-0.066
"mother_emotional_problems",0.047,-0.076
"mother_drug_alcohol_abuse",-0.003,-0.015
"father_learning_problems",0.07,0.009
"father_speech_problems",0.055,-0.069
"father_behavioral_problems",0.196,-0.346
"father_medical_problems",-0.096,0.044
"father_emotional_problems",0.021,-0.08
"father_drug_alcohol_abuse",0.142,-0.037
"family_history_learning_problems",0.071,-0.155
"family_history_ADD",-0.004,-0.219
"family_history_behavioral_problems",0.007,-0.332
"family_history_neurological_problems",-0.084,-0.251
"KeyMath_Numeration_Raw",0.82,-0.28
"KeyMath_ProblemSolving_Raw",0.784,-0.209
"KeyMath_ProblemSolving_ScS",0.644,0.006
"TOMA0x2D2_Attitudes_Raw",0.263,-0.312
"TOWRE_SW_Raw",0.691,0.291
"TOWRE_SW_StS",0.549,0.564
"TOWRE_PD_Raw",0.727,0.428
"WASI_Vocab_Raw",0.735,-0.182
"WASI_Vocab_T0x2DScore",0.583,0.071
"WASI_BD_Raw",0.719,-0.275
"WASI_Sim_Raw",0.678,-0.204
"WASI_MR_Raw",0.64,-0.282
"WJ0x2DIII_WordID_Raw",0.746,0.241
"WJ0x2DIII_WordID_StS",0.672,0.518
"WJ0x2DIII_WA_Raw",0.473,0.285
"WJ0x2DIII_WA_StS",0.629,0.48
"WJ0x2DIII_PassComp_Raw",0.576,0.078
"WJ0x2DIII_PassComp_StS",0.597,0.235
"WJ0x2DIII_MathFluency_Raw",0.592,-0.085
"WJ0x2DIII_MathFluency_StS",0.487,0.155
"WJ0x2DIII_SpatialRelations_Raw",0.571,-0.273
"WJ0x2DIII_SpatialRelations_StS",0.489,-0.168
