"","Factor1","Factor2","Factor3","Factor4","Factor5","Factor6"
"ADHD_HI_Raw",0.035,-0.122,-0.396,-0.003,0.034,0.11
"ADHD_IA_Raw",0.048,-0.139,-0.526,-0.129,-0.006,0.124
"AWMA0x2DS_VerbalSTM_StS",0.018,0.424,0.018,0.021,0.023,0.09
"AWMA0x2DS_VerbalWM_StS",0.06,0.278,0.063,0.065,0.018,0.193
"AWMA0x2DS_VisuoSpatialSTM_StS",0.19,0.252,0.412,-0.069,0.104,0.07
"AWMA0x2DS_VisuoSpatialWM_StS",0.043,0.347,0.496,-0.028,-0.003,0.048
"CMAT_Addition_Raw",0.688,-0.058,0.141,0.024,0.164,-0.075
"CMAT_Subtraction_Raw",0.735,-0.067,0.191,0.069,0.159,0.018
"CMAT_Multiplication_Raw",0.765,-0.048,0.142,0.046,0.057,-0.132
"CTOPP_EL_Raw",0.319,0.442,0.16,-0.175,-0.016,0.061
"CTOPP_BW_Raw",0.176,0.467,-0.039,-0.224,-0.135,0.133
"CTOPP_RD_Raw",-0.379,0.1,0.197,-0.035,-0.927,-0.014
"CTOPP_RD_StS",-0.165,0.247,0.032,0.076,0.94,0.095
"CTOPP_RL_StS",-0.065,0.219,0.155,-0.081,0.702,0.001
"speech_delay",-0.064,0.315,0.167,-0.008,-0.119,-0.228
"speech_language_therapy",-0.2,0.059,-0.124,0.28,-0.075,-0.075
"struggle_reading",-0.019,0.361,-0.108,0.499,0.062,0.133
"reading_disability_tested",-0.02,0.034,-0.004,0.839,0.066,-0.037
"tutoring_reading",0.005,0.117,0.04,0.655,0.048,-0.031
"struggle_math",0.321,0.057,0.369,0.262,0.027,0.133
"math_disability_tested",-0.017,-0.013,0.076,0.86,-0.019,0.002
"tutoring_math",0.096,-0.127,0.384,0.388,-0.117,0.048
"regular_classroom",0.176,-0.086,0.185,-0.155,-0.092,0.061
"skipped_grades",0.139,0.145,-0.04,0.008,-0.155,0.029
"individual_education_plan0x2F504_plan",-0.061,0.143,0.109,0.64,0.049,0.002
"learning_preference_teacher",0.068,-0.022,-0.126,0.035,-0.224,-0.109
"learning_preference_visual",-0.162,0.181,-0.092,-0.094,0.033,-0.038
"learning_preference_demonstrations",0.097,-0.186,0.029,0.154,-0.06,-0.194
"learning_preference_peer0x2Dinteractions",-0.296,-0.022,0.034,-0.182,-0.037,-0.113
"learning_preference_discussions",-0.221,-0.014,0.241,-0.172,0.108,-0.074
"mother_learning_problems",-0.043,0.007,0.076,0.057,0.088,-0.093
"mother_speech_problems",0.016,0.009,-0.068,0.273,-0.172,-0.092
"mother_behavioral_problems",-0.028,-0.032,0.312,-0.163,0.12,0.077
"mother_medical_problems",-0.136,0.066,0.179,-0.156,-0.025,-0.076
"mother_emotional_problems",0.006,-0.086,0.168,0.062,-0.055,0.192
"mother_drug_alcohol_abuse",0.076,-0.015,-0.102,-0.09,0.088,0.046
"father_learning_problems",-0.021,0.03,0.087,0.14,-0.158,0.006
"father_speech_problems",0.077,-0.039,0.057,0.026,-0.073,-0.116
"father_behavioral_problems",0.287,-0.221,0.311,-0.101,-0.078,-0.094
"father_medical_problems",-0.23,0.021,0.214,0.01,0.07,-0.046
"father_emotional_problems",-0.087,-0.039,0.367,-0.125,0.139,0.02
"father_drug_alcohol_abuse",-0.109,0.08,0.422,-0.003,0.023,-0.089
"family_history_learning_problems",0.062,-0.176,0.261,0.098,-0.023,0.007
"family_history_ADD",0.157,-0.294,0.151,0.022,-0.018,0.035
"family_history_behavioral_problems",0,-0.188,0.482,-0.162,-0.108,-0.123
"family_history_neurological_problems",0.167,-0.346,0.142,-0.16,0.209,0.018
"KeyMath_Numeration_Raw",0.741,0.023,0.214,0.04,-0.11,-0.05
"KeyMath_ProblemSolving_Raw",0.648,0.151,0.246,-0.094,-0.144,-0.002
"KeyMath_ProblemSolving_ScS",0.027,0.456,0.576,-0.035,-0.158,0.261
"TOMA0x2D2_Attitudes_Raw",0.249,-0.328,0.37,0.223,0.009,0.114
"TOWRE_SW_Raw",0.506,0.44,-0.155,-0.071,0.283,-0.118
"TOWRE_SW_StS",-0.194,0.824,0.192,0.014,0.269,0.097
"TOWRE_PD_Raw",0.33,0.641,-0.121,0.037,0.211,-0.13
"WASI_Vocab_Raw",0.999,-0.139,-0.255,-0.049,0.097,0.548
"WASI_Vocab_T0x2DScore",0.303,0.231,0.097,-0.004,0.078,0.848
"WASI_BD_Raw",0.593,0.116,0.197,-0.074,-0.203,0.085
"WASI_Sim_Raw",0.905,-0.085,-0.196,-0.072,0.003,0.189
"WASI_MR_Raw",0.538,0.095,0.165,-0.059,-0.171,-0.036
"WJ0x2DIII_WordID_Raw",0.48,0.467,-0.088,0.046,0.024,-0.061
"WJ0x2DIII_WordID_StS",-0.087,0.861,0.129,0.123,0.007,0.144
"WJ0x2DIII_WA_Raw",0.097,0.611,-0.048,-0.044,-0.135,-0.239
"WJ0x2DIII_WA_StS",-0.074,0.826,0.152,0.059,-0.02,-0.031
"WJ0x2DIII_PassComp_Raw",0.533,0.261,-0.239,0.005,-0.053,-0.01
"WJ0x2DIII_PassComp_StS",0.098,0.592,0.151,-0.043,-0.119,0.182
"WJ0x2DIII_MathFluency_Raw",0.631,-0.086,0.08,0.102,0.27,-0.18
"WJ0x2DIII_MathFluency_StS",-0.012,0.299,0.43,0.138,0.244,0.032
"WJ0x2DIII_SpatialRelations_Raw",0.443,0.061,0.219,-0.027,-0.15,0.044
"WJ0x2DIII_SpatialRelations_StS",0.126,0.172,0.396,0.06,-0.12,0.174
