"","Factor1","Factor2","Factor3","Factor4","Factor5","Factor6","Factor7"
"ADHD_HI_Raw",-0.001,-0.182,-0.578,0.072,0.137,0.087,0.083
"ADHD_IA_Raw",0.026,-0.197,-0.671,-0.064,0.079,0.04,0.099
"AWMA0x2DS_VerbalSTM_StS",0.027,0.444,-0.02,-0.001,-0.016,0.016,0.091
"AWMA0x2DS_VerbalWM_StS",0.051,0.296,-0.014,0.057,0.053,0.017,0.19
"AWMA0x2DS_VisuoSpatialSTM_StS",0.106,0.244,0.194,-0.027,0.335,0.142,0.048
"AWMA0x2DS_VisuoSpatialWM_StS",-0.04,0.337,0.277,0.016,0.353,0.038,0.023
"CMAT_Addition_Raw",0.631,-0.064,0.119,0.042,0.156,0.163,-0.068
"CMAT_Subtraction_Raw",0.687,-0.046,0.19,0.067,0.112,0.143,0.035
"CMAT_Multiplication_Raw",0.718,-0.036,0.181,0.04,0.09,0.041,-0.111
"CTOPP_EL_Raw",0.286,0.464,0.089,-0.191,0.109,-0.02,0.064
"CTOPP_BW_Raw",0.12,0.452,-0.209,-0.198,0.21,-0.104,0.112
"CTOPP_RD_Raw",-0.409,0.134,0.189,-0.061,0.084,-0.918,-0.008
"CTOPP_RD_StS",-0.134,0.212,-0.075,0.11,-0.003,0.955,0.066
"CTOPP_RL_StS",-0.035,0.21,0.121,-0.074,-0.041,0.696,-0.007
"speech_delay",-0.015,0.353,0.355,-0.074,-0.193,-0.167,-0.2
"speech_language_therapy",-0.129,0.09,0.047,0.221,-0.265,-0.118,-0.054
"struggle_reading",0.031,0.398,-0.064,0.449,-0.166,0.029,0.144
"reading_disability_tested",-0.029,0.016,-0.057,0.854,0.065,0.081,-0.051
"tutoring_reading",0.02,0.13,0.057,0.632,-0.043,0.039,-0.027
"struggle_math",0.272,0.097,0.276,0.248,0.165,0.026,0.138
"math_disability_tested",-0.073,-0.066,-0.093,0.945,0.254,0.03,-0.031
"tutoring_math",0.019,-0.126,0.233,0.422,0.291,-0.084,0.031
"regular_classroom",0.098,-0.105,0.039,-0.109,0.282,-0.055,0.039
"skipped_grades",0.135,0.161,-0.027,-0.01,-0.011,-0.166,0.037
"individual_education_plan0x2F504_plan",-0.077,0.126,0.036,0.664,0.103,0.066,-0.013
"learning_preference_teacher",-0.022,-0.097,-0.332,0.121,0.337,-0.149,-0.15
"learning_preference_visual",-0.139,0.173,-0.073,-0.1,-0.059,0.029,-0.044
"learning_preference_demonstrations",0.096,-0.188,0.106,0.139,-0.021,-0.065,-0.185
"learning_preference_peer0x2Dinteractions",-0.294,-0.046,0.034,-0.171,0.027,-0.02,-0.127
"learning_preference_discussions",-0.288,-0.069,0.06,-0.109,0.311,0.169,-0.118
"mother_learning_problems",-0.053,-0.005,0.055,0.06,0.054,0.099,-0.102
"mother_speech_problems",0.023,0.007,-0.006,0.263,-0.037,-0.18,-0.089
"mother_behavioral_problems",-0.053,-0.023,0.247,-0.153,0.12,0.127,0.07
"mother_medical_problems",-0.184,0.03,0.072,-0.117,0.22,0.015,-0.105
"mother_emotional_problems",0.042,-0.014,0.271,-0.005,-0.151,-0.105,0.22
"mother_drug_alcohol_abuse",0.05,-0.044,-0.186,-0.057,0.107,0.114,0.028
"father_learning_problems",0.043,0.095,0.291,0.062,-0.266,-0.223,0.046
"father_speech_problems",0.107,-0.01,0.223,-0.023,-0.144,-0.113,-0.094
"father_behavioral_problems",0.258,-0.198,0.379,-0.118,0.063,-0.095,-0.077
"father_medical_problems",-0.217,0.027,0.241,0.006,-0.018,0.064,-0.046
"father_emotional_problems",-0.054,0.009,0.477,-0.171,-0.106,0.099,0.041
"father_drug_alcohol_abuse",-0.104,0.103,0.488,-0.021,0,0.004,-0.078
"family_history_learning_problems",0.081,-0.133,0.385,0.057,-0.091,-0.062,0.033
"family_history_ADD",0.189,-0.244,0.323,-0.031,-0.158,-0.07,0.068
"family_history_behavioral_problems",-0.007,-0.151,0.59,-0.198,0.012,-0.135,-0.103
"family_history_neurological_problems",0.179,-0.328,0.241,-0.177,-0.062,0.182,0.034
"KeyMath_Numeration_Raw",0.667,0.039,0.173,0.044,0.188,-0.11,-0.033
"KeyMath_ProblemSolving_Raw",0.588,0.179,0.216,-0.104,0.149,-0.152,0.02
"KeyMath_ProblemSolving_ScS",-0.034,0.506,0.386,-0.044,0.256,-0.147,0.257
"TOMA0x2D2_Attitudes_Raw",0.207,-0.29,0.338,0.215,0.132,0.002,0.121
"TOWRE_SW_Raw",0.53,0.44,-0.065,-0.096,-0.121,0.25,-0.098
"TOWRE_SW_StS",-0.18,0.829,0.091,0.004,0.038,0.269,0.082
"TOWRE_PD_Raw",0.358,0.642,-0.06,0.008,-0.11,0.184,-0.116
"WASI_Vocab_Raw",0.982,-0.067,-0.253,-0.09,-0.049,0.045,0.581
"WASI_Vocab_T0x2DScore",0.281,0.321,-0.094,-0.037,0.088,0.052,0.849
"WASI_BD_Raw",0.455,0.089,-0.035,-0.021,0.482,-0.151,0.051
"WASI_Sim_Raw",0.905,-0.027,-0.08,-0.127,-0.118,-0.053,0.231
"WASI_MR_Raw",0.388,0.035,-0.096,0.029,0.537,-0.098,-0.081
"WJ0x2DIII_WordID_Raw",0.492,0.484,-0.01,0.012,-0.086,-0.01,-0.039
"WJ0x2DIII_WordID_StS",-0.087,0.877,0.018,0.106,0.058,0.007,0.134
"WJ0x2DIII_WA_Raw",0.086,0.587,-0.062,-0.043,0.037,-0.125,-0.24
"WJ0x2DIII_WA_StS",-0.059,0.847,0.126,0.026,-0.021,-0.032,-0.027
"WJ0x2DIII_PassComp_Raw",0.514,0.255,-0.237,0.002,0.013,-0.059,-0.001
"WJ0x2DIII_PassComp_StS",0.087,0.627,0.081,-0.068,0.052,-0.13,0.186
"WJ0x2DIII_MathFluency_Raw",0.643,-0.058,0.222,0.066,-0.114,0.226,-0.144
"WJ0x2DIII_MathFluency_StS",-0.012,0.336,0.384,0.115,0.036,0.23,0.037
"WJ0x2DIII_SpatialRelations_Raw",0.25,-0.036,-0.163,0.105,0.741,-0.042,-0.033
"WJ0x2DIII_SpatialRelations_StS",-0.081,0.069,-0.092,0.219,0.845,0.009,0.078
