"","Factor1","Factor2","Factor3","Factor4","Factor5","Factor6","Factor7","Factor8","Factor9"
"ADHD_HI_Raw",-0.007,-0.108,0.067,-0.016,-0.687,0.017,0.087,0.071,0.026
"ADHD_IA_Raw",-0.001,-0.113,-0.06,0.081,-0.741,-0.021,0.089,0.019,-0.116
"AWMA0x2DS_VerbalSTM_StS",-0.027,0.419,-0.05,0.048,0.05,0.042,0.123,-0.037,0.093
"AWMA0x2DS_VerbalWM_StS",0.033,0.252,0.027,-0.063,0.047,0.042,0.243,0.023,0.046
"AWMA0x2DS_VisuoSpatialSTM_StS",0.25,-0.025,-0.026,0.047,0.054,0.11,0.103,0.305,0.191
"AWMA0x2DS_VisuoSpatialWM_StS",0.139,-0.019,0.024,0.139,0.151,0.02,0.084,0.359,0.127
"CMAT_Addition_Raw",0.63,0.108,0.027,0.018,0.088,0.15,-0.128,0.05,0.065
"CMAT_Subtraction_Raw",0.671,0.024,0.061,0.019,0.135,0.136,0.009,0.015,0.078
"CMAT_Multiplication_Raw",0.722,0.05,0.041,0.126,0.088,0.015,-0.166,-0.017,0.108
"CTOPP_EL_Raw",0.34,0.139,-0.181,0.276,0.033,-0.017,0.125,0.074,0.078
"CTOPP_BW_Raw",0.202,0.227,-0.191,0.193,-0.183,-0.081,0.182,0.156,-0.042
"CTOPP_RD_Raw",-0.254,-0.009,-0.058,0.087,0.047,-0.934,0.076,0.09,0.07
"CTOPP_RD_StS",-0.201,-0.035,0.116,0.002,0.045,0.991,0.063,0.087,-0.006
"CTOPP_RL_StS",-0.094,-0.017,-0.089,0.049,0.058,0.663,-0.004,0.024,0.209
"speech_delay",0.046,-0.144,0.003,0.501,0.345,-0.148,-0.184,-0.097,-0.091
"speech_language_therapy",-0.222,0.121,0.217,0.04,0.121,-0.085,-0.065,-0.204,-0.038
"struggle_reading",-0.024,0.005,0.471,0.265,0.009,0.054,0.21,-0.141,-0.012
"reading_disability_tested",-0.012,-0.115,0.867,0.091,-0.056,0.063,-0.056,0.06,0.06
"tutoring_reading",0.01,0.009,0.653,0.075,0.11,0.079,-0.024,-0.008,-0.022
"struggle_math",0.3,0.094,0.237,-0.133,0.272,0.065,0.169,0.147,0.061
"math_disability_tested",0.016,-0.147,0.959,0.059,-0.079,0.016,-0.046,0.229,-0.033
"tutoring_math",0.125,-0.077,0.422,-0.163,0.177,-0.077,0.04,0.279,0.035
