"","Factor1"
"ADHD_HI_Raw",-0.22
"ADHD_IA_Raw",-0.33
"AWMA0x2DS_VerbalSTM_StS",0.378
"AWMA0x2DS_VerbalWM_StS",0.357
"AWMA0x2DS_VisuoSpatialSTM_StS",0.573
"AWMA0x2DS_VisuoSpatialWM_StS",0.542
"CMAT_Addition_Raw",0.67
"CMAT_Subtraction_Raw",0.754
"CMAT_Multiplication_Raw",0.731
"CTOPP_EL_Raw",0.656
"CTOPP_BW_Raw",0.427
"CTOPP_RD_Raw",-0.287
"CTOPP_RD_StS",0.194
"CTOPP_RL_StS",0.22
"speech_delay",0.206
"speech_language_therapy",-0.114
"struggle_reading",0.416
"reading_disability_tested",0.311
"tutoring_reading",0.356
"struggle_math",0.626
"math_disability_tested",0.324
"tutoring_math",0.307
"regular_classroom",0.133
"skipped_grades",0.214
"individual_education_plan0x2F504_plan",0.342
"learning_preference_teacher",-0.022
"learning_preference_visual",-0.09
"learning_preference_demonstrations",-0.029
"learning_preference_peer0x2Dinteractions",-0.37
"learning_preference_discussions",-0.171
"mother_learning_problems",0.02
"mother_speech_problems",0.056
"mother_behavioral_problems",0.048
"mother_medical_problems",-0.06
"mother_emotional_problems",0.042
"mother_drug_alcohol_abuse",-0.007
"father_learning_problems",0.07
"father_speech_problems",0.049
"father_behavioral_problems",0.169
"father_medical_problems",-0.092
"father_emotional_problems",0.016
"father_drug_alcohol_abuse",0.138
"family_history_learning_problems",0.06
"family_history_ADD",-0.017
"family_history_behavioral_problems",-0.02
"family_history_neurological_problems",-0.103
"KeyMath_Numeration_Raw",0.793
"KeyMath_ProblemSolving_Raw",0.768
"KeyMath_ProblemSolving_ScS",0.647
"TOMA0x2D2_Attitudes_Raw",0.244
"TOWRE_SW_Raw",0.702
"TOWRE_SW_StS",0.582
"TOWRE_PD_Raw",0.745
"WASI_Vocab_Raw",0.723
"WASI_Vocab_T0x2DScore",0.593
"WASI_BD_Raw",0.694
"WASI_Sim_Raw",0.661
"WASI_MR_Raw",0.614
"WJ0x2DIII_WordID_Raw",0.75
"WJ0x2DIII_WordID_StS",0.699
"WJ0x2DIII_WA_Raw",0.485
"WJ0x2DIII_WA_StS",0.655
"WJ0x2DIII_PassComp_Raw",0.58
"WJ0x2DIII_PassComp_StS",0.611
"WJ0x2DIII_MathFluency_Raw",0.587
"WJ0x2DIII_MathFluency_StS",0.505
"WJ0x2DIII_SpatialRelations_Raw",0.548
"WJ0x2DIII_SpatialRelations_StS",0.475
