"","Factor1","Factor2","Factor3","Factor4","Factor5","Factor6","Factor7","Factor8"
"ADHD_HI_Raw",-0.008,-0.205,0.075,-0.588,0.042,0.062,-0.008,0.08
"ADHD_IA_Raw",0.021,-0.193,0.03,-0.616,-0.078,0.035,-0.148,0.092
"AWMA0x2DS_VerbalSTM_StS",0.007,0.416,-0.005,-0.102,-0.013,0.001,0.128,0.093
"AWMA0x2DS_VerbalWM_StS",0.033,0.277,0.072,-0.081,0.052,0.009,0.071,0.19
"AWMA0x2DS_VisuoSpatialSTM_StS",0.07,0.206,0.361,0.091,-0.041,0.119,0.175,0.048
"AWMA0x2DS_VisuoSpatialWM_StS",-0.075,0.316,0.392,0.206,0.012,0.035,0.109,0.021
"CMAT_Addition_Raw",0.587,-0.058,0.214,0.064,0.04,0.151,0.077,-0.07
"CMAT_Subtraction_Raw",0.649,-0.04,0.176,0.131,0.069,0.133,0.085,0.035
"CMAT_Multiplication_Raw",0.679,-0.042,0.148,0.106,0.037,0.027,0.106,-0.109
"CTOPP_EL_Raw",0.258,0.446,0.141,0.046,-0.191,-0.022,0.072,0.066
"CTOPP_BW_Raw",0.09,0.442,0.22,-0.198,-0.2,-0.094,-0.047,0.109
"CTOPP_RD_Raw",-0.42,0.091,0.055,0.107,-0.082,-0.903,0.047,0.003
"CTOPP_RD_StS",-0.106,0.232,0.002,-0.005,0.13,0.949,0.013,0.056
"CTOPP_RL_StS",-0.019,0.189,-0.056,0.083,-0.081,0.652,0.207,-0.006
"speech_delay",0.02,0.393,-0.173,0.465,-0.037,-0.132,-0.125,-0.199
"speech_language_therapy",-0.104,0.103,-0.27,0.062,0.228,-0.108,-0.028,-0.051
"struggle_reading",0.062,0.401,-0.175,-0.039,0.458,0.04,-0.016,0.147
"reading_disability_tested",-0.018,0.012,0.057,-0.09,0.844,0.078,0.047,-0.052
"tutoring_reading",0.032,0.141,-0.014,0.044,0.642,0.057,-0.021,-0.027
"struggle_math",0.229,0.092,0.251,0.167,0.252,0.034,0.087,0.137
"math_disability_tested",-0.081,-0.053,0.268,-0.106,0.94,0.046,-0.042,-0.037
"tutoring_math",-0.019,-0.126,0.352,0.146,0.419,-0.072,0.041,0.028
"regular_classroom",0.059,-0.108,0.308,0.014,-0.115,-0.053,0.008,0.037
"skipped_grades",0.129,0.134,-0.028,-0.074,-0.025,-0.18,0.084,0.043
"individual_education_plan0x2F504_plan",-0.068,0.134,0.105,0.032,0.663,0.073,0.003,-0.014
"learning_preference_teacher",-0.059,-0.106,0.322,-0.328,0.101,-0.141,-0.052,-0.156
"learning_preference_visual",-0.119,0.176,-0.099,-0.014,-0.102,0.018,-0.012,-0.046
"learning_preference_demonstrations",0.099,-0.171,-0.01,0.127,0.143,-0.059,-0.031,-0.187
"learning_preference_peer0x2Dinteractions",-0.286,-0.032,0.013,0.098,-0.165,-0.01,-0.064,-0.13
"learning_preference_discussions",-0.313,-0.045,0.348,0.105,-0.096,0.195,-0.101,-0.128
"mother_learning_problems",-0.054,0,0.054,0.064,0.059,0.098,0.018,-0.105
"mother_speech_problems",0.027,0.035,-0.027,0.044,0.273,-0.155,-0.102,-0.092
"mother_behavioral_problems",-0.037,0.009,0.123,0.357,-0.132,0.146,-0.081,0.069
"mother_medical_problems",-0.189,0.059,0.224,0.176,-0.102,0.046,-0.122,-0.109
"mother_emotional_problems",0.04,0.007,-0.116,0.248,0.006,-0.097,0.009,0.223
"mother_drug_alcohol_abuse",0.041,0.012,0.148,-0.047,-0.025,0.163,-0.264,0.016
"father_learning_problems",0.054,0.113,-0.226,0.269,0.079,-0.208,-0.014,0.049
"father_speech_problems",0.107,0.052,-0.076,0.304,0.017,-0.064,-0.19,-0.099
"father_behavioral_problems",0.221,-0.206,0.102,0.284,-0.131,-0.115,0.162,-0.073
"father_medical_problems",-0.217,0.053,0.02,0.249,0.023,0.083,-0.042,-0.049
"father_emotional_problems",-0.023,0.007,-0.122,0.507,-0.165,0.084,0.117,0.05
"father_drug_alcohol_abuse",-0.089,0.168,0.077,0.62,0.034,0.066,-0.207,-0.083
"family_history_learning_problems",0.078,-0.106,-0.049,0.368,0.069,-0.054,0.016,0.036
"family_history_ADD",0.188,-0.201,-0.099,0.342,-0.005,-0.047,-0.077,0.07
"family_history_behavioral_problems",-0.01,-0.132,0.053,0.584,-0.182,-0.126,0.03,-0.098
"family_history_neurological_problems",0.19,-0.255,-0.008,0.384,-0.134,0.221,-0.208,0.029
"KeyMath_Numeration_Raw",0.62,0.022,0.248,0.085,0.038,-0.114,0.101,-0.031
"KeyMath_ProblemSolving_Raw",0.538,0.182,0.231,0.171,-0.094,-0.137,0.017,0.02
"KeyMath_ProblemSolving_ScS",-0.069,0.478,0.301,0.293,-0.045,-0.145,0.137,0.263
"TOMA0x2D2_Attitudes_Raw",0.179,-0.296,0.171,0.224,0.202,-0.016,0.148,0.124
"TOWRE_SW_Raw",0.538,0.448,-0.109,-0.006,-0.083,0.245,-0.005,-0.098
"TOWRE_SW_StS",-0.159,0.81,0.02,0.116,0.01,0.26,0.08,0.084
"TOWRE_PD_Raw",0.357,0.664,-0.068,-0.001,0.031,0.2,-0.068,-0.122
"WASI_Vocab_Raw",0.962,-0.042,-0.014,-0.221,-0.08,0.046,-0.091,0.582
"WASI_Vocab_T0x2DScore",0.277,0.306,0.075,-0.12,-0.043,0.034,0.055,0.856
"WASI_BD_Raw",0.389,0.117,0.556,0.005,-0.01,-0.113,-0.141,0.043
"WASI_Sim_Raw",0.883,0.026,-0.035,-0.005,-0.091,-0.015,-0.201,0.228
"WASI_MR_Raw",0.311,0.036,0.596,-0.123,0.02,-0.082,-0.032,-0.09
"WJ0x2DIII_WordID_Raw",0.511,0.523,-0.065,0.113,0.043,0.019,-0.154,-0.042
"WJ0x2DIII_WordID_StS",-0.087,0.875,0.069,0.03,0.114,0.018,0.007,0.131
"WJ0x2DIII_WA_Raw",0.034,0.55,0.07,-0.186,-0.068,-0.143,0.16,-0.242
"WJ0x2DIII_WA_StS",-0.054,0.839,0.006,0.13,0.042,-0.013,0.009,-0.029
"WJ0x2DIII_PassComp_Raw",0.456,0.272,0.099,-0.27,0.01,-0.038,-0.077,-0.009
"WJ0x2DIII_PassComp_StS",0.084,0.63,0.082,0.117,-0.049,-0.104,-0.056,0.186
"WJ0x2DIII_MathFluency_Raw",0.661,-0.184,-0.231,0,-0.013,0.091,0.658,-0.121
"WJ0x2DIII_MathFluency_StS",-0.003,0.136,-0.135,0.001,-0.009,0.042,0.983,0.068
"WJ0x2DIII_SpatialRelations_Raw",0.183,-0.012,0.755,-0.101,0.093,-0.022,-0.11,-0.041
"WJ0x2DIII_SpatialRelations_StS",-0.151,0.095,0.873,-0.043,0.21,0.036,-0.119,0.066
