"","Factor1"
"ADHD_Total_0x25",-0.353
"AWMA0x2DS_VerbalSTM_StS",0.415
"AWMA0x2DS_VerbalWM_StS",0.41
"AWMA0x2DS_VisuoSpatialSTM_StS",0.595
"AWMA0x2DS_VisuoSpatialWM_StS",0.623
"CMAT_BasicCalc_Comp_Quotient",0.793
"CTOPP_EL_StS",0.678
"CTOPP_BW_StS",0.456
"CTOPP_RapidNaming_Comp",0.205
"KeyMath_Numeration_ScS",0.84
"KeyMath_ProblemSolving_ScS",0.794
"TOMA0x2D2_Attitudes_StS",0.216
"TOWRE_Total_StS",0.677
"WASI_Vocab_T0x2DScore",0.726
"WASI_BD_T0x2DScore",0.734
"WASI_Sim_T0x2DScore",0.656
"WASI_MR_T0x2DScore",0.637
"WJ0x2DIII_WordID_StS",0.767
"WJ0x2DIII_WA_StS",0.681
"WJ0x2DIII_PassComp_StS",0.664
"WJ0x2DIII_MathFluency_StS",0.525
"WJ0x2DIII_SpatialRelations_StS",0.552
