"","Factor1","Factor2","Factor3","Factor4","Factor5","Factor6","Factor7","Factor8","Factor9","Factor10","Factor11"
"ADHD_Total_0x25",0.099,-0.004,0.069,0.026,0.019,-0.035,1.06,-0.001,0.032,0.049,-0.099
"AWMA0x2DS_VerbalSTM_StS",0.04,0.026,-0.031,0.057,-0.012,-0.044,0.034,0.058,0.965,0.01,0.016
"AWMA0x2DS_VerbalWM_StS",0,-0.025,0.241,0.079,0.044,0.304,-0.057,-0.23,0.212,-0.042,-0.114
"AWMA0x2DS_VisuoSpatialSTM_StS",0.282,0.135,-0.052,0.11,0.171,0.351,0.127,0.091,-0.12,-0.189,0.082
"AWMA0x2DS_VisuoSpatialWM_StS",-0.099,-0.002,-0.049,-0.035,-0.053,0.984,-0.051,0.051,-0.025,0.069,0
"CMAT_BasicCalc_Comp_Quotient",0.197,0.107,0.131,0.07,0.066,0.174,-0.024,0.047,-0.021,0.212,0.541
"CTOPP_EL_StS",-0.102,-0.05,0.077,0.075,-0.028,0.065,-0.001,1.002,0.052,-0.049,0.032
"CTOPP_BW_StS",-0.026,0.26,0.179,-0.016,0.077,-0.021,-0.013,0.166,0.023,-0.005,-0.332
"CTOPP_RapidNaming_Comp",-0.173,-0.037,0.067,-0.042,0.945,-0.007,0.054,-0.042,-0.009,-0.041,0.019
"KeyMath_Numeration_ScS",1.074,0.089,-0.07,-0.087,-0.052,0.005,0.088,-0.079,0,0,0.13
"KeyMath_ProblemSolving_ScS",0.778,0.021,0.089,-0.099,-0.109,0.017,-0.073,0.034,0.077,-0.023,-0.031
"TOMA0x2D2_Attitudes_StS",-0.068,0.141,0.179,0.105,-0.071,-0.111,-0.089,0.017,0.035,-0.047,0.569
"TOWRE_Total_StS",0.068,0.07,-0.015,0.206,0.513,-0.097,-0.122,0.056,-0.044,0.213,-0.176
"WASI_Vocab_T0x2DScore",-0.182,0.011,1.224,-0.174,0.076,-0.028,0.067,0.065,-0.009,0.034,0.143
"WASI_BD_T0x2DScore",0.216,0.619,0.04,-0.045,-0.177,0.071,-0.01,0.065,-0.052,0.073,0.013
"WASI_Sim_T0x2DScore",0.257,-0.097,0.608,0.153,-0.075,-0.067,-0.058,-0.02,-0.064,-0.059,0.036
"WASI_MR_T0x2DScore",0.096,0.833,-0.108,-0.104,-0.02,-0.035,-0.012,0.045,0.072,0.049,0.102
"WJ0x2DIII_WordID_StS",-0.017,0.005,0.046,0.193,0.016,0.057,0.054,-0.051,0.013,0.873,0.108
"WJ0x2DIII_WA_StS",-0.186,-0.043,-0.159,1.218,-0.003,-0.009,0.02,0.069,0.055,0.014,0.091
"WJ0x2DIII_PassComp_StS",0.196,0.052,0.129,0.579,-0.107,-0.048,0.017,-0.065,-0.07,0.042,-0.058
"WJ0x2DIII_MathFluency_StS",0.423,-0.086,-0.048,-0.022,0.444,-0.024,-0.063,0.014,0.072,-0.047,0.247
"WJ0x2DIII_SpatialRelations_StS",-0.169,0.968,0.043,0.078,0.091,-0.007,0.007,-0.15,-0.003,-0.105,0.067
