"","Factor1","Factor2","Factor3","Factor4","Factor5","Factor6","Factor7","Factor8"
"ADHD_Total_0x25",0.249,0.067,0.063,-0.017,-0.71,-0.205,0.075,-0.263
"AWMA0x2DS_VerbalSTM_StS",-0.064,0.029,-0.126,0.013,-0.06,-0.062,1.094,0.009
"AWMA0x2DS_VerbalWM_StS",0.171,-0.022,0.263,-0.127,0.074,0.018,0.2,-0.129
"AWMA0x2DS_VisuoSpatialSTM_StS",-0.062,0.074,0.869,0.059,-0.175,0.002,-0.143,0.053
"AWMA0x2DS_VisuoSpatialWM_StS",-0.161,-0.061,0.844,0.114,0,0.034,-0.035,-0.037
"CMAT_BasicCalc_Comp_Quotient",0.167,0.116,0.287,0.189,0.055,0.058,-0.01,0.546
"CTOPP_EL_StS",0.157,0.148,0.184,0.196,-0.012,0.193,0.118,0.035
"CTOPP_BW_StS",0.232,0.038,0.097,0.254,-0.065,0.103,0.038,-0.282
"CTOPP_RapidNaming_Comp",0.077,-0.058,0.192,-0.195,0.031,0.679,-0.026,0.098
"KeyMath_Numeration_ScS",0.059,-0.035,0.414,0.116,0.372,-0.074,0.026,0.218
"KeyMath_ProblemSolving_ScS",0.134,-0.101,0.33,0.007,0.47,-0.078,0.111,0.035
"TOMA0x2D2_Attitudes_StS",0.174,0.064,-0.161,0.129,-0.034,-0.148,0.014,0.579
"TOWRE_Total_StS",-0.017,0.07,-0.188,0.077,0.768,0.849,-0.075,-0.155
"WASI_Vocab_T0x2DScore",1.363,-0.215,-0.125,0.014,-0.183,0.06,-0.031,0.13
"WASI_BD_T0x2DScore",0.042,-0.056,0.141,0.672,0.17,-0.094,-0.055,0.014
"WASI_Sim_T0x2DScore",0.669,0.135,0.004,-0.148,0.166,-0.09,-0.087,0.077
"WASI_MR_T0x2DScore",-0.102,-0.091,0.048,0.894,-0.008,-0.018,0.079,0.147
"WJ0x2DIII_WordID_StS",0.147,0.406,-0.149,0.186,0.196,0.327,0.091,0.048
"WJ0x2DIII_WA_StS",-0.223,1.266,0.022,-0.111,-0.115,-0.025,0.031,0.094
"WJ0x2DIII_PassComp_StS",0.144,0.617,0.087,0.014,0.038,-0.093,-0.09,-0.048
"WJ0x2DIII_MathFluency_StS",0.004,0.01,0.339,-0.134,0.16,0.294,0.086,0.367
"WJ0x2DIII_SpatialRelations_StS",0.008,-0.014,0.046,0.771,-0.062,-0.047,-0.054,0.087
