"","factor1"
"1",0.372018412486645
"2",0.507158342182529
"3",0.534936866773878
"4",0.607821054886052
"5",0.690321593393834
"6",0.542215160715243
"7",0.495460963198605
"8",0.212107105887492
"9",-0.283439868578276
"10",0.233482539146915
"11",0.258398764797367
"12",0.20585923122707
"13",0.733749050317129
"14",0.465884894364599
"15",0.126972922821667
"16",0.418137880959076
"17",0.302355672204636
"18",0.667473298006803
"19",0.287931176896007
"20",0.781993637191147
"21",-0.337916888391343
"22",-0.432005092739199
"23",0.31063468786587
"24",0.447322943560236
"25",0.645275573985753
"26",0.602542906357237
"27",0.455393370391416
"28",0.0494341036909982
"29",0.207237827180786
"30",-0.696720652146025
"31",-0.00776377439021422
"32",0.294454484842128
"33",0.104484416110814
"34",0.603177347629239
"35",0.0825154117390813
"36",0.46167628429961
"37",0.682899856208195
"38",0.775606471383457
"39",0.622653272166727
"40",-0.278081521829424
"41",-0.651573800890258
"42",0.0558110361268445
"43",-0.1059150222295
"44",-0.328669465376767
"45",-0.218717606655825
"46",-0.0621693693521665
"47",0.479188219389762
"48",0.0423222338037139
"49",0.399144880912886
"50",0.283611273372639
"51",0.401143034140152
"52",0.553720931774889
"53",0.0450541185753463
"54",-0.381376286037303
"55",-0.55575836521463
"56",0.0820748896874953
"57",-0.192818855845144
"58",-0.0709697547918968
"59",0.269342733503337
"60",0.128012595420993
"61",-0.216050576256812
"62",-0.728262694219797
"63",-0.552583706250435
"64",-0.301328373137288
"65",-0.333378442214923
"66",-0.494180265890665
"67",-0.4217039562686
"68",-0.290873863792341
"69",-0.23519290607693
"70",-0.169808294032349
"71",-0.384992670576699
"72",-0.512729102161081
"73",0.00081343151995029
"74",-0.299073667128978
"75",-0.113552960883714
"76",0.423976314130152
"77",-0.425861253387435
"78",-0.132412284918539
"79",-0.210777303769544
"80",-0.440196013520402
"81",-0.598279990464245
"82",-0.0601436634847176
"83",-0.359122414569362
"84",-0.270951147388896
"85",-0.354379824418994
"86",-0.551146615752945
"87",-0.833656631019954
"88",-0.26663451396522
"89",-0.350846778327262
"90",-0.618095680363854
"91",-0.416016540800825
"92",-0.521359528932256
"93",-0.358315510262153
"94",-0.0921159215449833
"95",-0.613821113080399
"96",-0.508863065436006
"97",-0.0384159085236416
"98",-0.0299854504938035
"99",-0.209103612702056
"100",-0.224432388564734
"101",0.0483302522107462
"102",0.384744341044917
"103",0.0957280156858672
"104",-0.245668125319283
"105",0.183026493479034
"106",0.376945109602469
"107",-0.23778984995724
"108",-0.180138330967052
"109",-0.184997583907615
"110",-0.0514425800474295
