CMAT_Addition_Raw,CMAT_Subtraction_Raw,CMAT_Multiplication_Raw,KeyMath_Numeration_Raw,KeyMath_ProblemSolving_Raw,TOMA0x2D2_Attitudes_Raw
17,14,6,24,19,39
20,16,7,27,22,46
17,18,14,28,21,54
17,11,4,23,20,43
23,23,17,41,25,35
14,12,13,21,15,46
25,21,20,41,24,56
25,20,26,47,25,52
17,11,3,21,16,35
21,16,12,42,23,49
21,19,17,33,18,56
24,21,12,45,23,39
23,19,19,47,26,54
19,16,14,38,18,48
12,17,15,25,14,36
24,17,22,36,25,36
10,9,12,28,21,48
20,17,16,28,20,33
24,21,22,42,24,49
14,9,8,23,19,50
12,6,7,22,17,33
23,17,15,39,25,49
25,21,15,43,24,38
16,15,12,22,23,52
24,22,22,44,26,38
17,12,12,27,21,39
20,19,15,26,21,56
15,15,13,16,12,35
18,12,9,18,8,48
19,19,16,31,22,53
23,21,13,39,25,56
21,14,14,27,18,51
25,21,16,38,25,50
19,16,7,28,21,55
18,18,15,26,21,34
19,16,15,25,20,46
13,11,10,27,16,55
24,19,18,49,27,57
10,7,7,19,21,47
19,18,16,29,20,40
15,9,10,21,19,37
14,7,10,22,19,37
20,21,16,41,22,44
21,23,14,38,21,51
16,12,9,25,17,42
21,15,14,27,16,41
13,19,10,38,23,40
19,18,11,43,23,47
20,19,20,44,25,41
22,18,17,24,18,36
18,14,15,24,13,35
20,12,8,14,18,40
21,17,14,36,21,43
20,16,19,42,20,52
17,13,13,15,15,38
17,13,16,20,17,41
13,14,5,19,12,35
13,18,17,39,21,38
20,14,17,26,21,24
16,15,16,26,23,43
22,22,15,42,24,56
21,20,15,44,24,37
19,13,11,23,22,35
16,15,7,23,22,52
10,7,3,23,11,32
11,7,4,14,8,33
13,9,3,27,22,37
11,7,6,34,22,38
18,13,12,22,20,35
17,19,16,36,22,45
8,8,3,19,16,22
15,10,12,18,11,35
10,10,6,18,16,32
20,9,8,16,14,48
16,15,14,26,20,37
12,7,3,16,10,55
10,8,2,12,9,51
10,8,7,15,14,49
20,16,9,26,18,52
13,8,2,14,10,58
19,7,6,16,18,34
17,13,5,19,14,42
16,12,3,19,19,27
17,8,7,16,6,23
15,10,13,22,22,47
18,13,8,19,19,27
8,3,2,15,10,32
7,9,6,19,17,50
19,15,11,26,20,44
10,10,15,27,23,30
9,6,9,19,18,25
14,14,6,24,24,38
15,14,4,16,14,36
15,15,10,14,6,39
18,9,7,30,20,36
15,14,3,18,16,49
17,8,3,11,12,36
15,12,5,18,11,42
16,13,3,15,14,29
20,16,7,17,12,37
11,16,2,16,15,34
15,3,3,13,10,25
17,7,11,18,14,40
10,9,4,15,8,53
18,16,13,30,16,47
17,18,2,19,14,44
9,3,3,15,6,48
20,15,14,14,10,34
11,9,3,15,13,37
8,11,5,18,13,45
14,12,10,34,24,49
15,9,8,20,14,55
16,9,5,20,12,44
17,11,8,35,19,37
10,10,5,16,6,36
18,19,14,34,24,31
23,20,18,37,21,56
25,20,12,31,17,53
21,16,9,20,13,59
18,15,10,19,10,51
17,15,7,12,14,48
23,21,15,37,25,53
17,17,13,20,11,57
16,11,5,15,9,25
21,20,20,37,11,51
23,17,22,46,24,58
14,9,5,19,19,41
20,18,14,36,19,27
18,9,14,20,19,39
20,10,14,10,20,54
19,16,17,25,21,55
